cohort,gi_desc_bin_1,so_desc_bin_1,sss,sss_desc,sss_desc_bin,fsc,fsc_desc,fsc_desc_bin,fg_surv,id,card_id,arb_id,uo_email_address,campus_email
NA,NA,Straight or Heterosexual,3,3rd Rung,Lower,4,Upper-Middle Class,Upper,Continuing-Generation,12110,12110,12310,12110@coolcats.edu,12110@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5722,5722,5922,5722@coolcats.edu,5722@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,650,650,850,650@coolcats.edu,650@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5034,5034,5234,5034@coolcats.edu,5034@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1847,1847,2047,1847@coolcats.edu,1847@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5638,5638,5838,5638@coolcats.edu,5638@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16713,16713,16913,16713@coolcats.edu,16713@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3938,3938,4138,3938@coolcats.edu,3938@coolcats.edu
NA,NA,Straight or Heterosexual,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,14822,14822,15022,14822@coolcats.edu,14822@coolcats.edu
1819,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,27882,27882,28082,27882@coolcats.edu,27882@coolcats.edu
2021,NA,NA,6,6th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,19552,19552,19752,19552@coolcats.edu,19552@coolcats.edu
2021,NA,NA,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,19901,19901,20101,19901@coolcats.edu,19901@coolcats.edu
1819,Woman,NA,6,6th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,31240,31240,31440,31240@coolcats.edu,31240@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8871,8871,9071,8871@coolcats.edu,8871@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8668,8668,8868,8668@coolcats.edu,8668@coolcats.edu
1920,Nonbinary,NA,10,Top Rung,Upper,NA,NA,Middle,NA,22007,22007,22207,22007@coolcats.edu,22007@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6556,6556,6756,6556@coolcats.edu,6556@coolcats.edu
1920,Nonbinary,NA,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,22036,22036,22236,22036@coolcats.edu,22036@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9331,9331,9531,9331@coolcats.edu,9331@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Middle,NA,22526,22526,22726,22526@coolcats.edu,22526@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1821,1821,2021,1821@coolcats.edu,1821@coolcats.edu
NA,NA,Straight or Heterosexual,7,7th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,13816,13816,14016,13816@coolcats.edu,13816@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,17505,17505,17705,17505@coolcats.edu,17505@coolcats.edu
1920,Woman,NA,NA,NA,NA,3,Middle Class,NA,First-Generation,22774,22774,22974,22774@coolcats.edu,22774@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,2867,2867,3067,2867@coolcats.edu,2867@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8335,8335,8535,8335@coolcats.edu,8335@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,26550,26550,26750,26550@coolcats.edu,26550@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1622,1622,1822,1622@coolcats.edu,1622@coolcats.edu
2223,NA,NA,5,5th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,17025,17025,17225,17025@coolcats.edu,17025@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15822,15822,16022,15822@coolcats.edu,15822@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10178,10178,10378,10178@coolcats.edu,10178@coolcats.edu
2021,NA,NA,NA,NA,NA,1,Working Class,NA,First-Generation,19799,19799,19999,19799@coolcats.edu,19799@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3783,3783,3983,3783@coolcats.edu,3783@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4399,4399,4599,4399@coolcats.edu,4399@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,4112,4112,4312,4112@coolcats.edu,4112@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11114,11114,11314,11114@coolcats.edu,11114@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8126,8126,8326,8126@coolcats.edu,8126@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7568,7568,7768,7568@coolcats.edu,7568@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9766,9766,9966,9766@coolcats.edu,9766@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8142,8142,8342,8142@coolcats.edu,8142@coolcats.edu
1920,NA,NA,5,5th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,21670,21670,21870,21670@coolcats.edu,21670@coolcats.edu
1819,Woman,NA,7,7th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,29872,29872,30072,29872@coolcats.edu,29872@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5688,5688,5888,5688@coolcats.edu,5688@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6579,6579,6779,6579@coolcats.edu,6579@coolcats.edu
1819,Woman,LGBQ+,8,8th Rung,Upper,NA,NA,Lower,NA,34128,34128,34328,34128@coolcats.edu,34128@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,23041,23041,23241,23041@coolcats.edu,23041@coolcats.edu
2021,NA,NA,NA,NA,NA,1,Working Class,NA,First-Generation,19925,19925,20125,19925@coolcats.edu,19925@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7748,7748,7948,7748@coolcats.edu,7748@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10963,10963,11163,10963@coolcats.edu,10963@coolcats.edu
NA,NA,Straight or Heterosexual,6,6th Rung,Middle,2,Lower-Middle Class,Upper,Continuing-Generation,13453,13453,13653,13453@coolcats.edu,13453@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,2989,2989,3189,2989@coolcats.edu,2989@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,17624,17624,17824,17624@coolcats.edu,17624@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7272,7272,7472,7272@coolcats.edu,7272@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8124,8124,8324,8124@coolcats.edu,8124@coolcats.edu
NA,NA,NA,6,6th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,15828,15828,16028,15828@coolcats.edu,15828@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10237,10237,10437,10237@coolcats.edu,10237@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9236,9236,9436,9236@coolcats.edu,9236@coolcats.edu
NA,NA,Straight or Heterosexual,3,3rd Rung,Lower,NA,NA,Upper,Continuing-Generation,5222,5222,5422,5222@coolcats.edu,5222@coolcats.edu
1920,NA,NA,8,8th Rung,Upper,NA,NA,Middle,NA,21231,21231,21431,21231@coolcats.edu,21231@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4686,4686,4886,4686@coolcats.edu,4686@coolcats.edu
1920,Woman,NA,10,Top Rung,Upper,NA,NA,Lower,NA,23163,23163,23363,23163@coolcats.edu,23163@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,262,262,462,262@coolcats.edu,262@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16618,16618,16818,16618@coolcats.edu,16618@coolcats.edu
2021,NA,NA,NA,NA,NA,NA,NA,Middle,NA,19410,19410,19610,19410@coolcats.edu,19410@coolcats.edu
1920,NA,NA,7,7th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,21654,21654,21854,21654@coolcats.edu,21654@coolcats.edu
NA,NA,NA,4,4th Rung,Lower,3,Middle Class,Upper,Continuing-Generation,11992,11992,12192,11992@coolcats.edu,11992@coolcats.edu
1617,Woman,LGBQ+,NA,NA,NA,4,Upper-Middle Class,NA,Continuing-Generation,43121,43121,43321,43121@coolcats.edu,43121@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9551,9551,9751,9551@coolcats.edu,9551@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3785,3785,3985,3785@coolcats.edu,3785@coolcats.edu
2223,NA,NA,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,16877,16877,17077,16877@coolcats.edu,16877@coolcats.edu
2122,NA,NA,6,6th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,18114,18114,18314,18114@coolcats.edu,18114@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,3,Middle Class,NA,First-Generation,11641,11641,11841,11641@coolcats.edu,11641@coolcats.edu
1819,Woman,LGBQ+,6,6th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,33810,33810,34010,33810@coolcats.edu,33810@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5941,5941,6141,5941@coolcats.edu,5941@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,22675,22675,22875,22675@coolcats.edu,22675@coolcats.edu
1920,NA,NA,8,8th Rung,Upper,NA,NA,Middle,NA,20899,20899,21099,20899@coolcats.edu,20899@coolcats.edu
2021,NA,NA,NA,NA,NA,NA,NA,Middle,NA,19348,19348,19548,19348@coolcats.edu,19348@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,14115,14115,14315,14115@coolcats.edu,14115@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,12066,12066,12266,12066@coolcats.edu,12066@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10241,10241,10441,10241@coolcats.edu,10241@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7597,7597,7797,7597@coolcats.edu,7597@coolcats.edu
1920,NA,NA,7,7th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,20409,20409,20609,20409@coolcats.edu,20409@coolcats.edu
NA,NA,NA,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,12122,12122,12322,12122@coolcats.edu,12122@coolcats.edu
1819,Woman,LGBQ+,8,8th Rung,Upper,NA,NA,Lower,NA,35867,35867,36067,35867@coolcats.edu,35867@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4811,4811,5011,4811@coolcats.edu,4811@coolcats.edu
2223,NA,NA,NA,NA,NA,1,Working Class,Middle,NA,16679,16679,16879,16679@coolcats.edu,16679@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,15121,15121,15321,15121@coolcats.edu,15121@coolcats.edu
1718,Woman,LGBQ+,NA,NA,NA,2,Lower-Middle Class,NA,Continuing-Generation,42359,42359,42559,42359@coolcats.edu,42359@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,17936,17936,18136,17936@coolcats.edu,17936@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8346,8346,8546,8346@coolcats.edu,8346@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16323,16323,16523,16323@coolcats.edu,16323@coolcats.edu
2021,NA,NA,NA,NA,NA,3,Middle Class,NA,First-Generation,19302,19302,19502,19302@coolcats.edu,19302@coolcats.edu
1819,Woman,NA,5,5th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,31429,31429,31629,31429@coolcats.edu,31429@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,14643,14643,14843,14643@coolcats.edu,14643@coolcats.edu
1920,NA,NA,5,5th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,20948,20948,21148,20948@coolcats.edu,20948@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7595,7595,7795,7595@coolcats.edu,7595@coolcats.edu
1617,Woman,LGBQ+,8,8th Rung,Upper,NA,NA,Lower,NA,46029,46029,46229,46029@coolcats.edu,46029@coolcats.edu
1920,Nonbinary,NA,8,8th Rung,Upper,NA,NA,Middle,NA,22026,22026,22226,22026@coolcats.edu,22026@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,13427,13427,13627,13427@coolcats.edu,13427@coolcats.edu
NA,NA,NA,NA,NA,NA,3,Middle Class,NA,First-Generation,13471,13471,13671,13471@coolcats.edu,13471@coolcats.edu
1920,Woman,NA,9,9th Rung,Upper,NA,NA,Lower,NA,26420,26420,26620,26420@coolcats.edu,26420@coolcats.edu
2021,NA,NA,6,6th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,18998,18998,19198,18998@coolcats.edu,18998@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,2,Lower-Middle Class,NA,First-Generation,14778,14778,14978,14778@coolcats.edu,14778@coolcats.edu
2122,NA,NA,7,7th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,18195,18195,18395,18195@coolcats.edu,18195@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9840,9840,10040,9840@coolcats.edu,9840@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13407,13407,13607,13407@coolcats.edu,13407@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16905,16905,17105,16905@coolcats.edu,16905@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,25329,25329,25529,25329@coolcats.edu,25329@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9379,9379,9579,9379@coolcats.edu,9379@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6882,6882,7082,6882@coolcats.edu,6882@coolcats.edu
1920,NA,NA,9,9th Rung,Upper,NA,NA,Middle,NA,20300,20300,20500,20300@coolcats.edu,20300@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4729,4729,4929,4729@coolcats.edu,4729@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,12345,12345,12545,12345@coolcats.edu,12345@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3254,3254,3454,3254@coolcats.edu,3254@coolcats.edu
1819,Woman,NA,5,5th Rung,Middle,2,Lower-Middle Class,NA,Continuing-Generation,30173,30173,30373,30173@coolcats.edu,30173@coolcats.edu
2021,NA,NA,6,6th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,19584,19584,19784,19584@coolcats.edu,19584@coolcats.edu
1920,NA,NA,8,8th Rung,Upper,NA,NA,Middle,NA,20256,20256,20456,20256@coolcats.edu,20256@coolcats.edu
1920,Nonbinary,NA,8,8th Rung,Upper,NA,NA,Middle,NA,21942,21942,22142,21942@coolcats.edu,21942@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11974,11974,12174,11974@coolcats.edu,11974@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10028,10028,10228,10028@coolcats.edu,10028@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,13975,13975,14175,13975@coolcats.edu,13975@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5737,5737,5937,5737@coolcats.edu,5737@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,17988,17988,18188,17988@coolcats.edu,17988@coolcats.edu
NA,NA,NA,7,7th Rung,Middle,5,Upper Class,Upper,Continuing-Generation,13860,13860,14060,13860@coolcats.edu,13860@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,2874,2874,3074,2874@coolcats.edu,2874@coolcats.edu
1920,NA,NA,8,8th Rung,Upper,NA,NA,Middle,NA,20316,20316,20516,20316@coolcats.edu,20316@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3483,3483,3683,3483@coolcats.edu,3483@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,14100,14100,14300,14100@coolcats.edu,14100@coolcats.edu
1819,Woman,LGBQ+,5,5th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,35988,35988,36188,35988@coolcats.edu,35988@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7515,7515,7715,7515@coolcats.edu,7515@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,4084,4084,4284,4084@coolcats.edu,4084@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11030,11030,11230,11030@coolcats.edu,11030@coolcats.edu
1819,Woman,NA,6,6th Rung,Middle,5,Upper Class,NA,Continuing-Generation,28281,28281,28481,28281@coolcats.edu,28281@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4498,4498,4698,4498@coolcats.edu,4498@coolcats.edu
1718,Woman,LGBQ+,NA,NA,NA,3,Middle Class,NA,Continuing-Generation,42893,42893,43093,42893@coolcats.edu,42893@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16314,16314,16514,16314@coolcats.edu,16314@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13924,13924,14124,13924@coolcats.edu,13924@coolcats.edu
2122,NA,NA,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,18316,18316,18516,18316@coolcats.edu,18316@coolcats.edu
2223,NA,NA,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,16706,16706,16906,16706@coolcats.edu,16706@coolcats.edu
2021,NA,NA,NA,NA,NA,NA,NA,Middle,NA,19545,19545,19745,19545@coolcats.edu,19545@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,12880,12880,13080,12880@coolcats.edu,12880@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5256,5256,5456,5256@coolcats.edu,5256@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7318,7318,7518,7318@coolcats.edu,7318@coolcats.edu
NA,NA,Straight or Heterosexual,4,4th Rung,Lower,2,Lower-Middle Class,Upper,Continuing-Generation,11690,11690,11890,11690@coolcats.edu,11690@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16081,16081,16281,16081@coolcats.edu,16081@coolcats.edu
2223,NA,NA,NA,NA,NA,1,Working Class,NA,First-Generation,16384,16384,16584,16384@coolcats.edu,16384@coolcats.edu
2122,NA,NA,7,7th Rung,Middle,2,Lower-Middle Class,Upper,Continuing-Generation,18468,18468,18668,18468@coolcats.edu,18468@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16766,16766,16966,16766@coolcats.edu,16766@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6254,6254,6454,6254@coolcats.edu,6254@coolcats.edu
2021,NA,NA,6,6th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,18944,18944,19144,18944@coolcats.edu,18944@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,14287,14287,14487,14287@coolcats.edu,14287@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1336,1336,1536,1336@coolcats.edu,1336@coolcats.edu
1920,NA,NA,9,9th Rung,Upper,NA,NA,Middle,NA,20752,20752,20952,20752@coolcats.edu,20752@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3959,3959,4159,3959@coolcats.edu,3959@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,15151,15151,15351,15151@coolcats.edu,15151@coolcats.edu
NA,NA,Straight or Heterosexual,3,3rd Rung,Lower,3,Middle Class,Upper,Continuing-Generation,7994,7994,8194,7994@coolcats.edu,7994@coolcats.edu
NA,Man,Straight or Heterosexual,4,4th Rung,Lower,NA,NA,Upper,Continuing-Generation,3869,3869,4069,3869@coolcats.edu,3869@coolcats.edu
2122,NA,NA,7,7th Rung,Middle,1,Working Class,Upper,Continuing-Generation,18103,18103,18303,18103@coolcats.edu,18103@coolcats.edu
1920,Woman,NA,7,7th Rung,Middle,5,Upper Class,NA,Continuing-Generation,24348,24348,24548,24348@coolcats.edu,24348@coolcats.edu
1920,Woman,NA,7,7th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,22094,22094,22294,22094@coolcats.edu,22094@coolcats.edu
1920,NA,NA,9,9th Rung,Upper,NA,NA,Middle,NA,21656,21656,21856,21656@coolcats.edu,21656@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,22673,22673,22873,22673@coolcats.edu,22673@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4748,4748,4948,4748@coolcats.edu,4748@coolcats.edu
2021,NA,NA,5,5th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,18671,18671,18871,18671@coolcats.edu,18671@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,4099,4099,4299,4099@coolcats.edu,4099@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5655,5655,5855,5655@coolcats.edu,5655@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3415,3415,3615,3415@coolcats.edu,3415@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12945,12945,13145,12945@coolcats.edu,12945@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8990,8990,9190,8990@coolcats.edu,8990@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Middle,NA,22184,22184,22384,22184@coolcats.edu,22184@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10997,10997,11197,10997@coolcats.edu,10997@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,4181,4181,4381,4181@coolcats.edu,4181@coolcats.edu
1920,Woman,NA,9,9th Rung,Upper,NA,NA,Lower,NA,23035,23035,23235,23035@coolcats.edu,23035@coolcats.edu
NA,NA,Straight or Heterosexual,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,15137,15137,15337,15137@coolcats.edu,15137@coolcats.edu
NA,NA,Straight or Heterosexual,4,4th Rung,Lower,NA,NA,Upper,Continuing-Generation,5114,5114,5314,5114@coolcats.edu,5114@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,178,178,378,178@coolcats.edu,178@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3059,3059,3259,3059@coolcats.edu,3059@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8628,8628,8828,8628@coolcats.edu,8628@coolcats.edu
NA,NA,NA,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,15078,15078,15278,15078@coolcats.edu,15078@coolcats.edu
2021,NA,NA,6,6th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,18886,18886,19086,18886@coolcats.edu,18886@coolcats.edu
2021,NA,NA,NA,NA,NA,1,Working Class,NA,First-Generation,18768,18768,18968,18768@coolcats.edu,18768@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11577,11577,11777,11577@coolcats.edu,11577@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5280,5280,5480,5280@coolcats.edu,5280@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6057,6057,6257,6057@coolcats.edu,6057@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9587,9587,9787,9587@coolcats.edu,9587@coolcats.edu
NA,NA,NA,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,15323,15323,15523,15323@coolcats.edu,15323@coolcats.edu
NA,NA,NA,NA,NA,NA,3,Middle Class,NA,First-Generation,11762,11762,11962,11762@coolcats.edu,11762@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1100,1100,1300,1100@coolcats.edu,1100@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,12242,12242,12442,12242@coolcats.edu,12242@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11032,11032,11232,11032@coolcats.edu,11032@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,17719,17719,17919,17719@coolcats.edu,17719@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1645,1645,1845,1645@coolcats.edu,1645@coolcats.edu
1920,Nonbinary,NA,7,7th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,21839,21839,22039,21839@coolcats.edu,21839@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6082,6082,6282,6082@coolcats.edu,6082@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8331,8331,8531,8331@coolcats.edu,8331@coolcats.edu
1617,Woman,LGBQ+,NA,NA,NA,1,Working Class,NA,Continuing-Generation,43305,43305,43505,43305@coolcats.edu,43305@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8432,8432,8632,8432@coolcats.edu,8432@coolcats.edu
NA,Man,Straight or Heterosexual,4,4th Rung,Lower,NA,NA,Upper,Continuing-Generation,4198,4198,4398,4198@coolcats.edu,4198@coolcats.edu
2021,NA,NA,NA,NA,NA,NA,NA,Middle,NA,19224,19224,19424,19224@coolcats.edu,19224@coolcats.edu
2021,NA,NA,6,6th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,18904,18904,19104,18904@coolcats.edu,18904@coolcats.edu
2122,NA,NA,7,7th Rung,Middle,2,Lower-Middle Class,Upper,Continuing-Generation,18457,18457,18657,18457@coolcats.edu,18457@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3420,3420,3620,3420@coolcats.edu,3420@coolcats.edu
NA,NA,NA,6,6th Rung,Middle,1,Working Class,Upper,Continuing-Generation,16175,16175,16375,16175@coolcats.edu,16175@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7908,7908,8108,7908@coolcats.edu,7908@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6222,6222,6422,6222@coolcats.edu,6222@coolcats.edu
1920,Woman,NA,9,9th Rung,Upper,NA,NA,Lower,NA,23843,23843,24043,23843@coolcats.edu,23843@coolcats.edu
